order_id,drone_id,drone_type,distance_km,payload_kg,drone_speedweather_condition,Unnamed: 6,battery_efficiency,ETA_actual
1,202,0,-0.9006294644870317,-1.0351667546393122,-1.6634524042058545,3,-0.836201918859014,42.76
2,535,1,-1.3417195104156932,-0.8375646689716723,1.635659743352324,1,-0.9600270023055468,8.74
3,960,1,-0.5026064781608539,-1.1621966668542234,-0.844897468840481,2,-1.246633375226735,38.51
4,370,1,-0.7339182660258053,-0.5905620618871226,0.6318589951744188,3,1.2611723878336585,21.08
5,206,1,-0.7026599163143255,0.8843963632749035,0.7383753375416242,1,0.0117912087888692,21.09
6,171,0,-0.9186898443203312,0.0587019338779799,0.402617301818911,1,0.6197862814420683,14.53
7,800,3,-1.5771990782421752,-1.0281095372940392,-0.6295492114459128,0,-0.8960275209736308,8.55
8,120,2,-1.6605546774727884,1.300772186646002,-0.774272502705703,1,0.9091752405081228,5.77
9,714,0,1.6743639217453263,1.3078294039912746,0.359779207606013,2,0.9161317058702872,62.18
10,221,2,-0.2511504204818374,1.2796005346101833,1.2923760964841011,1,-0.6400295956459685,20.71
11,566,3,-0.4004958691033528,-0.9081368424244008,1.5719814951980158,3,-0.2991627928998951,20.2
12,314,1,0.6150531815229507,-0.1741862385160242,-1.3485345224245509,1,-0.9982875617974531,91.29
13,430,3,-0.9714817238330528,1.6748047059454627,-1.1783399319030377,0,1.6695169045927296,30.28
14,558,0,1.5444681129442877,0.9337968846918132,1.5650347772175466,3,0.5182218871544633,43.51
15,187,1,0.9818178181376488,-1.6420874463327777,0.8419972140836339,3,1.5234311319872702,41.14
16,472,0,-1.4139610297488912,-1.5080003167725933,1.3508443061530568,0,-0.6720293363119259,6.31
17,199,1,-0.2858819201612596,-0.131842934444387,-1.0121975935367986,2,0.9919571783178832,48.02
18,971,2,1.3013476151883323,1.413687664170367,0.3250456177036632,3,0.9363054554205652,56.61
19,763,2,1.5264077331109878,0.1292741073307085,0.719271863095332,2,0.6782205904842524,53.06
20,230,2,-0.1143083117449142,-0.0118702395747486,0.6463313243003979,3,1.6312563451008235,26.19
21,761,3,0.3872145436259414,-1.366855969867136,-0.2984223210435128,3,-0.3582927484782952,48.38
22,408,0,-1.147223112210929,0.5385927133565336,-1.662873511040815,2,-1.2723722970667442,30.29
23,869,3,1.68617263163633,1.1102273183236346,0.3088366090825667,3,0.6093515833988217,64.74
24,443,2,-0.9249415142626272,-0.421188845600574,-0.8367929645299327,2,0.8096977858291663,25.88
25,591,0,1.520156063168692,0.9479113193823592,-0.151962350288605,0,0.2726586598700474,68.44
26,513,2,0.512247942471861,1.6042325324927342,1.6096095509255617,2,-1.0080266133044833,30.74
27,905,3,0.3677649038054649,-1.0281095372940392,-0.3302614451206669,0,0.0270954325856315,46.73
28,485,3,0.0412888068188968,0.0728163685685256,1.200910976407914,3,-0.6414208887184011,29.37
29,291,3,-0.9284146642305696,-0.7387636261378524,-1.061403512565127,2,-0.240728483857711,27.18
30,376,2,-1.114575502512272,1.004369058144542,0.6197022387085964,3,0.5168305940820306,12.6
31,260,0,-0.96384079390358,0.2633612368908926,1.6773400512351435,2,0.8646538621902683,11.45
32,559,0,-1.0805386328264384,0.4609633225585323,-1.3624279583854908,0,-0.9196795032049913,28.26
33,413,2,0.9588950283492302,1.0255407101803604,-1.68718702397246,0,-0.3172496028415238,130.43
34,121,0,-0.5178883380197998,-0.3647311068383912,-0.2104305599575605,2,-0.7909848940049432,29.41
